unicode	name	glyphname
U+100002	CISTERCIAN NUMERAL ZERO	stick
U+100003	CISTERCIAN NUMERAL ONE	cistercian1
U+100004	CISTERCIAN NUMERAL TWO	cistercian2
U+100005	CISTERCIAN NUMERAL THREE	cistercian3
U+100006	CISTERCIAN NUMERAL FOUR	cistercian4
U+100007	CISTERCIAN NUMERAL FIVE	cistercian5
U+100008	CISTERCIAN NUMERAL SIX	cistercian6
U+100009	CISTERCIAN NUMERAL SEVEN	cistercian7
U+10000a	CISTERCIAN NUMERAL EIGHT	cistercian8
U+10000b	CISTERCIAN NUMERAL NINE	cistercian9
U+10000c	CISTERCIAN NUMERAL TEN	cistercian10
U+10000d	CISTERCIAN NUMERAL TWENTY	cistercian20
U+10000e	CISTERCIAN NUMERAL THIRTY	cistercian30
U+10000f	CISTERCIAN NUMERAL FORTY	cistercian40
U+100010	CISTERCIAN NUMERAL FIFTY	cistercian50
U+100011	CISTERCIAN NUMERAL SIXTY	cistercian60
U+100012	CISTERCIAN NUMERAL SEVENTY	cistercian70
U+100013	CISTERCIAN NUMERAL EIGHTY	cistercian80
U+100014	CISTERCIAN NUMERAL NINETY	cistercian90
U+100015	CISTERCIAN NUMERAL ONE HUNDRED	cistercian100
U+100016	CISTERCIAN NUMERAL TWO HUNDRED	cistercian200
U+100017	CISTERCIAN NUMERAL THREE HUNDRED	cistercian300
U+100018	CISTERCIAN NUMERAL FOUR HUNDRED	cistercian400
U+100019	CISTERCIAN NUMERAL FIVE HUNDRED	cistercian500
U+10001a	CISTERCIAN NUMERAL SIX HUNDRED	cistercian600
U+10001b	CISTERCIAN NUMERAL SEVEN HUNDRED	cistercian700
U+10001c	CISTERCIAN NUMERAL EIGHT HUNDRED	cistercian800
U+10001d	CISTERCIAN NUMERAL NINE HUNDRED	cistercian900
U+10001e	CISTERCIAN NUMERAL ONE THOUSAND	cistercian1000
U+10001f	CISTERCIAN NUMERAL TWO THOUSAND	cistercian2000
U+100020	CISTERCIAN NUMERAL THREE THOUSAND	cistercian3000
U+100021	CISTERCIAN NUMERAL FOUR THOUSAND	cistercian4000
U+100022	CISTERCIAN NUMERAL FIVE THOUSAND	cistercian5000
U+100023	CISTERCIAN NUMERAL SIX THOUSAND	cistercian6000
U+100024	CISTERCIAN NUMERAL SEVEN THOUSAND	cistercian7000
U+100025	CISTERCIAN NUMERAL EIGHT THOUSAND	cistercian8000
U+100026	CISTERCIAN NUMERAL NINE THOUSAND	cistercian9000
