BLOCK: Cistercian Numerals (for our purposes, temporarily in Supplementary Private Use Area-B, until such time as they are suitable for a proposal for encoding in the Universal Character Set)

ENCODING PARADIGM A

Cistercian numerals

U+100002	CISTERCIAN NUMERAL ZERO
U+100003	CISTERCIAN NUMERAL ONE
U+100004	CISTERCIAN NUMERAL TWO
U+100005	CISTERCIAN NUMERAL THREE
U+100006	CISTERCIAN NUMERAL FOUR
U+100007	CISTERCIAN NUMERAL FIVE
U+100008	CISTERCIAN NUMERAL SIX
U+100009	CISTERCIAN NUMERAL SEVEN
U+10000a	CISTERCIAN NUMERAL EIGHT
U+10000b	CISTERCIAN NUMERAL NINE
U+10000c	CISTERCIAN NUMERAL TEN
U+10000d	CISTERCIAN NUMERAL TWENTY
U+10000e	CISTERCIAN NUMERAL THIRTY
U+10000f	CISTERCIAN NUMERAL FORTY
U+100010	CISTERCIAN NUMERAL FIFTY
U+100011	CISTERCIAN NUMERAL SIXTY
U+100012	CISTERCIAN NUMERAL SEVENTY
U+100013	CISTERCIAN NUMERAL EIGHTY
U+100014	CISTERCIAN NUMERAL NINETY
U+100015	CISTERCIAN NUMERAL ONE HUNDRED
U+100016	CISTERCIAN NUMERAL TWO HUNDRED
U+100017	CISTERCIAN NUMERAL THREE HUNDRED
U+100018	CISTERCIAN NUMERAL FOUR HUNDRED
U+100019	CISTERCIAN NUMERAL FIVE HUNDRED
U+10001a	CISTERCIAN NUMERAL SIX HUNDRED
U+10001b	CISTERCIAN NUMERAL SEVEN HUNDRED
U+10001c	CISTERCIAN NUMERAL EIGHT HUNDRED
U+10001d	CISTERCIAN NUMERAL NINE HUNDRED
U+10001e	CISTERCIAN NUMERAL ONE THOUSAND
U+10001f	CISTERCIAN NUMERAL TWO THOUSAND
U+100020	CISTERCIAN NUMERAL THREE THOUSAND
U+100021	CISTERCIAN NUMERAL FOUR THOUSAND
U+100022	CISTERCIAN NUMERAL FIVE THOUSAND
U+100023	CISTERCIAN NUMERAL SIX THOUSAND
U+100024	CISTERCIAN NUMERAL SEVEN THOUSAND
U+100025	CISTERCIAN NUMERAL EIGHT THOUSAND
U+100026	CISTERCIAN NUMERAL NINE THOUSAND

ENCODING PARADIGM B
Copy only U+100002–U+10000B, and determine the magnitude of a number based on its position in the string. (Unimplemented.)
